SESTD1	ENSG00000187231.14	HGNC:18379	OTTHUMG00000154554.6
B3GALNT1	ENSG00000169255.15	HGNC:918	OTTHUMG00000159064.39
AL161722.1	ENSG00000233663.1		OTTHUMG00000045352.1
PCMTD2	ENSG00000203880.12	HGNC:15882	OTTHUMG00000033029.6
FEM1AP3	ENSG00000217770.1	HGNC:39831	OTTHUMG00000015387.1
RAD54L2	ENSG00000164080.13	HGNC:29123	OTTHUMG00000152936.5
AC080129.2	ENSG00000232874.1		OTTHUMG00000155988.1
BNIP3P29	ENSG00000269742.1	HGNC:49709	OTTHUMG00000182928.1
TMSB15B-AS1	ENSG00000231728.4	HGNC:53858	OTTHUMG00000022115.4
CARD6	ENSG00000132357.14	HGNC:16394	OTTHUMG00000094775.9
TRIM49	ENSG00000168930.13	HGNC:13431	OTTHUMG00000167634.2
AL357033.1	ENSG00000167046.4		OTTHUMG00000032926.1
MALRD1	ENSG00000204740.11	HGNC:24331	OTTHUMG00000017779.7
Y_RNA	ENSG00000207258.1		
GOLPH3L	ENSG00000143457.11	HGNC:24882	OTTHUMG00000035009.4
MACO1	ENSG00000204178.11	HGNC:25572	OTTHUMG00000003473.6
CCAR2	ENSG00000158941.16	HGNC:23360	OTTHUMG00000162249.3
AC009161.2	ENSG00000280261.1		OTTHUMG00000176305.1
SH3PXD2A	ENSG00000107957.16	HGNC:23664	OTTHUMG00000018997.2
PGBD5	ENSG00000177614.11	HGNC:19405	OTTHUMG00000037759.6
UNC93B6	ENSG00000255562.2	HGNC:34053	OTTHUMG00000167455.2
AC090953.2	ENSG00000285654.1		OTTHUMG00000193143.1
AC139491.5	ENSG00000251623.2		OTTHUMG00000192425.1
AC005154.4	ENSG00000264520.1		OTTHUMG00000179702.1
TERT	ENSG00000164362.20	HGNC:11730	OTTHUMG00000090357.8
MIR1263	ENSG00000221251.1	HGNC:35329	
AC110609.1	ENSG00000273077.1		OTTHUMG00000186365.1
MTND3P25	ENSG00000249192.1	HGNC:52172	OTTHUMG00000163071.1
OR5AN2P	ENSG00000235678.3	HGNC:15256	OTTHUMG00000167417.1
USP9Y	ENSG00000114374.13	HGNC:12633	OTTHUMG00000036469.3
RNU6-978P	ENSG00000201241.1	HGNC:47941	
C5orf47	ENSG00000185056.10	HGNC:27026	OTTHUMG00000163349.3
